id,parent_id,name
423,5,Pizzasaus
424,22,Lomper
425,22,Påsmurte lefser
426,221,Tobakk
427,341,Olivenolje
428,199,Vindusvask
429,106,Lysing
430,177,Skummet melk
431,65,Bambusskudd
432,19,Guloster
433,432,Gulost
434,134,Kjøttsuppe
435,43,Lunsjkaker
436,205,Paideig
437,51,Borddekning
438,437,Stearinlys
439,2,Mango
440,392,Entrecote
441,255,Selvtester
442,156,Mandelkake
443,397,Truseinnlegg
444,177,Syrnet melk naturell
445,65,Jalapenos
446,341,Matolje
447,65,Sylteagurk
448,84,Fiskepudding
449,332,Sminkefjerner
450,106,Kveite
451,334,Ketchup
452,22,Lefser
453,209,Krabbe
454,177,Kefir
455,255,Smertestillende
456,43,Kjøttboller
457,392,Indrefilet av storfe
458,61,Cashewnøtter
459,5,Kyllingsaus
460,22,Myke runde porsjonsbrød
461,9,Nøttedrikk
462,65,Hermetiske rødbeter
463,168,Kyllingkjøttdeig
464,313,Dyreartikler
465,464,Hundeavfallsposer
466,74,Bakepulver
467,403,Småis multipack
468,156,Napoleonskake
469,308,Rosmarin
470,222,Blader
471,308,Dill
472,84,Fiskepinner
473,134,Gulrotsuppe
474,313,Hundemat
475,70,Panert kjøtt
476,142,Båndspagetti
477,308,Sitrongress
478,332,Vaselin
479,33,Vegetarretter
480,106,Steinbit
481,106,Hyse
482,95,Stekepose
483,308,Basilikum
484,5,Chilisaus
485,166,Ostesnacks
486,308,Koriander
487,5,Worcestersaus
488,77,Kokt potet
489,249,Timian tørket
490,156,Biskvi
491,14,Rullader
492,173,Skinkestek
493,26,Sjokoladedrikk
494,415,Brødmix
495,164,Isbiter
496,2,Melon
497,26,Te
498,70,Pai ferdig
499,392,Ytrefilet av storfe
500,130,Mangosalsa
501,226,Matfløte
502,118,Neglepleie
503,502,Neglelakkfjerner
504,249,Kryddermix
505,346,Bomullpads
506,8,Cottage Cheese
507,249,Karve
508,43,Karbonader
509,168,Svinekjøttdeig
510,346,Intimservietter
511,9,Soyadrikk
512,70,Gryterett ferdig
513,4,Sushitilbehør
514,139,Hasselnøtter
515,513,Ingefær syltet
516,72,Sukker
517,119,Munnskyll
518,57,Cæsardressing
519,88,Lettøl
520,74,Vaniljesukker
521,65,Rødløk syltet
522,415,Sjokoladekakemix
523,346,Deodorant
524,36,Hvitløksbaguetter
525,166,Beef jerky
526,173,Smårettbacon
527,37,Kornblanding
528,51,Hus
529,528,Elektrisk
530,134,Sodd
531,164,Tiramisu
532,397,Tamponger
533,26,Cider
534,533,Cider
535,119,Fluortabletter
536,341,Solsikkeolje
537,173,Øvrig svinekjøtt
538,4,Marinader og BBQ-saus
539,538,Barbequesaus
540,82,Croissant
541,249,Grillkrydder
542,332,Bodylotion
543,134,Thaisuppe
544,134,Soppsuppe
545,107,Hele kaffebønner
546,65,Hermetiske bønner
547,82,Skillingsboller
548,84,Fylt fisk
549,5,Paprikasaus
550,77,Søtpotetmos
551,82,Berlinerboller
552,279,Hermetisk fersken
553,5,Sandefjordsmør
554,82,Skolebrød
555,432,Racletteost
556,57,Aioli
557,11,Squash
558,65,Hermetisk asparges
559,132,Middag kit
560,82,Solskinnsboller
561,249,Allehånde
562,61,Pecannøtter
563,211,Sjokoladepudding
564,130,Tacokit
565,173,Svineknoke
566,5,Tahinisaus
567,464,Kattesand
568,65,Vannkastanjer
569,36,Focaccia
570,63,Servelatsnabb
571,77,Gratinerte poteter
572,139,Aprikoser tørket
573,74,Natron
574,70,Dumpling
575,118,Hårpleie
576,575,Balsam
577,249,Basilikum tørket
578,5,Hollandaisesaus
579,19,Plantebasert erstatning for ost
580,575,Shampo
581,5,Fiskesaus
582,290,Oppbevaring
583,134,Ramensuppe
584,82,Brioche
585,77,Skrelte poteter
586,115,Quinoa
587,65,Tomatbønner
588,199,Kjøkkenhåndkle
589,95,Plastfolie
590,156,Rullekake
591,65,Rødkål
592,47,Kylling stekt
593,575,Hårgele
594,249,Paprikapulver
595,246,Salsa dip
596,95,Aluminiumsfolie
597,119,Tannstikker
598,8,Kesam
599,132,Pastarett kit
600,415,Muffinmix
601,36,Bagel
602,173,Ribbe
603,308,Sitronmelisse
604,65,Hermetisk sopp
605,139,Dadler tørket
606,115,Ris
607,16,Babyartikler
608,607,Smokker
609,249,Gressløk tørket
610,70,Vårruller
611,4,Eddiker
612,611,Balsamico
613,2,Pasjonsfrukt
614,11,Fennikel
615,380,Vaniljesaus
616,308,Mynte
617,611,Eddik
618,156,Punchrull
619,5,Appelsinsaus
620,77,Raspeball
621,316,Kosttilskudd
622,47,Kyllingvinger
623,61,Valnøtter
624,209,Hummer
625,221,Sigaretter
626,173,Svinefilet
627,308,Timian
628,65,Soltørkede tomater
629,122,Potetmel
630,313,Fuglemat
631,106,Breiflabb
632,,Meieriprodukter
634,115,Risottoris
635,,Frukt/Grønt
636,122,Paneringsmel
637,635,Frukt
639,308,Salvie
640,5,Rødvinssaus
641,82,Sjokoboller
642,,Kjøtt
643,642,Pølser
